av_id,glottocode,iso639p3,name,parent_av_id,family,macroarea,latitude,longitude,in_glottolog,notes
atl-kutep,kute1248,kub,Kutep,,Atlantic-Congo,Africa,7.07479,10.0916,true,
atl-kutu,kutu1263,kdc,Kutu,,Atlantic-Congo,Africa,-7.23789,37.8623,true,
atl-kuturmi,kutu1262,khj,Kuturmi,,Atlantic-Congo,Africa,10.1485,7.96524,true,
atl-kuwaataay,kuwa1246,cwt,Kuwaataay,,Atlantic-Congo,Africa,12.48255,-16.74835,true,
atl-kwa-south,ibal1241,tek,Kwa South,,Atlantic-Congo,Africa,-4.20697,15.3893,true,
atl-kwakum,kwak1266,kwu,Kwakum,,Atlantic-Congo,Africa,4.34393,13.6446,true,
atl-kwambi,kwam1251,kwm,Kwambi,,Atlantic-Congo,Africa,-18.0339,15.7294,true,
atl-kwangali,kwan1273,kwn,Kwangali,,Atlantic-Congo,Africa,-17.9026,19.256,true,
atl-kwanja,kwan1276,knp,Kwanja,,Atlantic-Congo,Africa,6.30293,11.6931,true,
atl-kwasio,kwas1243,nmg,Kwasio,,Atlantic-Congo,Africa,2.39354,10.0812,true,
atl-kwaya,kway1241,kya,Kwaya,,Atlantic-Congo,Africa,-1.80737,33.71,true,
atl-kwere,kwer1261,cwe,Kwere,,Atlantic-Congo,Africa,-6.50666,38.4449,true,
atl-kwese,kwes1244,kws,Kwese,,Atlantic-Congo,Africa,-5.60445,18.5759,true,
atl-kyak,kyak1243,bka,Kyak,,Atlantic-Congo,Africa,9.51524,11.2785,true,
atl-kyoli,cori1240,cry,Kyoli,,Atlantic-Congo,Africa,9.59,8.06,true,
atl-laari,laar1238,ldi,Laari,,Atlantic-Congo,Africa,-4.25,14.9,true,
atl-labir,labi1245,jku,Labir,,Atlantic-Congo,Africa,10.4847,9.59527,true,
atl-laimbue,laim1240,lmx,Laimbue,,Atlantic-Congo,Africa,6.28158,10.1427,true,
atl-lala-bisa,lala1264,leb,Lala-Bisa,,Atlantic-Congo,Africa,-12.945,30.2297,true,
atl-lala-roba,lala1261,lla,Lala-Roba,,Atlantic-Congo,Africa,9.89429,12.169,true,
atl-lama-togo,lama1275,las,Lama (Togo),,Atlantic-Congo,Africa,8.66954,0.833293,true,
atl-lamba,lamb1271,lam,Lamba,,Atlantic-Congo,Africa,-12.3366,27.9026,true,
atl-lambya,lamb1272,lai,Lambya,,Atlantic-Congo,Africa,-9.49372,33.15852,true,
atl-lame,lame1257,bma,Lame,,Atlantic-Congo,Africa,10.7229,8.78768,true,
atl-lamnso,lamn1239,lns,Lamnso',,Atlantic-Congo,Africa,6.19194,10.84295,true,
atl-landoma,land1256,ldm,Landoma,,Atlantic-Congo,Africa,10.8753,-14.0895,true,
atl-langbashe,lang1318,lna,Langbashe,,Atlantic-Congo,Africa,4.87523,20.109,true,
atl-langi,lang1320,lag,Langi,,Atlantic-Congo,Africa,-4.71413,35.9517,true,
atl-larteh,lart1238,lar,Larteh,,Atlantic-Congo,Africa,5.9367,-0.07822,true,
atl-laru-nigeria,laru1238,lan,Laru (Nigeria),,Atlantic-Congo,Africa,10.5756,4.43514,true,
atl-latege,teke1275,teg,Latege,,Atlantic-Congo,Africa,-1.61688,14.8664,true,
atl-leelau,leel1242,ldk,Leelau,,Atlantic-Congo,Africa,9.29145,11.1636,true,
atl-lefa,lefa1242,lfa,Lefa,,Atlantic-Congo,Africa,5.05845,11.114,true,
atl-lega-mwenga,lega1250,lgm,Lega-Mwenga,,Atlantic-Congo,Africa,-3.39007,28.2621,true,
atl-lega-shabunda,lega1249,lea,Lega-Shabunda,,Atlantic-Congo,Africa,-3.83196,27.1424,true,
atl-legbo,legb1242,agb,Legbo,,Atlantic-Congo,Africa,6.02645,7.98385,true,
atl-lehar,leha1242,cae,Lehar,,Atlantic-Congo,Africa,14.9387,-16.8816,true,
atl-lele-democratic-republic-of-congo,lele1265,lel,Lele (Democratic Republic of Congo),,Atlantic-Congo,Africa,-4.94672,20.5674,true,
atl-lelemi,lele1264,lef,Lelemi,,Atlantic-Congo,Africa,7.34549,0.50746,true,
atl-lema,lema1242,,Lema,,Atlantic-Congo,Africa,-3.42531,37.5847,true,
atl-lengola,leng1258,lej,Lengola,,Atlantic-Congo,Africa,-1.95874,25.3343,true,
atl-lenje,lenj1248,leh,Lenje,,Atlantic-Congo,Africa,-14.7192,28.2581,true,
atl-lenyima,leny1238,ldg,Lenyima,,Atlantic-Congo,Africa,6.00131,8.28951,true,
atl-lere,lere1241,gnh,Lere,,Atlantic-Congo,Africa,10.4789,8.93337,true,
atl-leti-cameroon,leti1245,leo,Leti (Cameroon),,Atlantic-Congo,Africa,4.57457,11.405,true,
atl-leyigha,leyi1238,ayi,Leyigha,,Atlantic-Congo,Africa,5.98832,8.20861,true,
atl-libinza,libi1244,liz,Libinza,,Atlantic-Congo,Africa,1.97729,18.8886,true,
atl-lijili,liji1238,mgi,Lijili,,Atlantic-Congo,Africa,8.52193,8.35562,true,
atl-liko,lika1243,lik,Liko,,Atlantic-Congo,Africa,2.13777,27.6088,true,
atl-limbum,limb1268,lmp,Limbum,,Atlantic-Congo,Africa,6.49888,10.78224,true,
atl-liwengi,liwe1234,,Liwengi,,Atlantic-Congo,Africa,-9.58491,35.12116,true,
atl-lobala,loba1239,loq,Lobala,,Atlantic-Congo,Africa,2.04881,18.3667,true,
atl-lobi,lobi1245,lob,Lobi,,Atlantic-Congo,Africa,9.96122,-3.336,true,
atl-logooli,logo1258,rag,Logooli,,Atlantic-Congo,Africa,0.09487,34.729,true,
atl-loi-likila,balo1261,biz,Loi-Likila,,Atlantic-Congo,Africa,0.93777,18.1266,true,
atl-lokaa,loka1252,yaz,Lokaa,,Atlantic-Congo,Africa,5.91483,8.0933,true,
atl-lolo,lolo1261,llb,Lolo,,Atlantic-Congo,Africa,-17.0232,35.9451,true,
atl-loma-cote-d-ivoire,loma1258,loi,Loma (Côte d'Ivoire),,Atlantic-Congo,Africa,9.40172,-3.47051,true,
atl-lombo,lomb1260,loo,Lombo,,Atlantic-Congo,Africa,0.88267,24.6862,true,
atl-longto,long1387,wok,Longto,,Atlantic-Congo,Africa,8.33313,13.0568,true,
atl-loo,looo1238,ldo,Loo,,Atlantic-Congo,Africa,9.4066,11.0511,true,
atl-lopa,lopa1238,lop,Lopa,,Atlantic-Congo,Africa,10.3756,4.67396,true,
atl-lozi,lozi1239,loz,Lozi,,Atlantic-Congo,Africa,-17.7052,24.7398,true,
atl-luba-katanga,luba1250,lub,Luba-Katanga,,Atlantic-Congo,Africa,-8.2816,25.8918,true,
atl-luba-lulua,luba1249,lua,Luba-Lulua,,Atlantic-Congo,Africa,-5.72717,22.4422,true,
atl-lubila,lubi1238,kcc,Lubila,,Atlantic-Congo,Africa,5.46011,8.29204,true,
atl-lucumi,lucu1238,luq,Lucumi,,Atlantic-Congo,North America,22.9514,-82.441,true,
atl-lufu,lufu1237,ldq,Lufu,,Atlantic-Congo,Africa,7.25555,10.9499,true,
atl-luguru,lugu1238,ruf,Luguru,,Atlantic-Congo,Africa,-6.86828,37.5557,true,
atl-lukpa,lukp1238,dop,Lukpa,,Atlantic-Congo,Africa,9.51949,1.66954,true,
atl-lumbu,lumb1249,lup,Lumbu,,Atlantic-Congo,Africa,-3.37917,11.124,true,
atl-lunda,lund1266,lun,Lunda,,Atlantic-Congo,Africa,-11.1793,23.8662,true,
atl-lusengo,luse1252,lse,Lusengo,,Atlantic-Congo,Africa,0.16988,18.3991,true,
atl-luvale,luva1239,lue,Luvale,,Atlantic-Congo,Africa,-13.5382,22.2924,true,
atl-luyi,luya1241,lyn,Luyi,,Atlantic-Congo,Africa,-15.01,22.67,true,
atl-lwalu,lwal1238,lwa,Lwalu,,Atlantic-Congo,Africa,-7.16388,22.1097,true,
atl-lwanzali,lwan1234,,Lwanzali,,Atlantic-Congo,Africa,-9.3404,35.27635,true,
atl-lwel,lwel1234,lvl,Lwel,,Atlantic-Congo,Africa,-4.38475,20.6314,true,
atl-ma-democratic-republic-of-congo,made1252,msj,Ma (Democratic Republic of Congo),,Atlantic-Congo,Africa,3.69351,26.9939,true,
atl-maasina-fulfulde,maas1239,ffm,Maasina Fulfulde,,Atlantic-Congo,Africa,11.1324,-3.64763,true,
atl-mabaale,maba1270,mmz,Mabaale,,Atlantic-Congo,Africa,2.11942,20.8759,true,
atl-machame,mach1266,jmc,Machame,,Atlantic-Congo,Africa,-3.29385,37.0703,true,
atl-mada-nigeria,mada1282,mda,Mada (Nigeria),,Atlantic-Congo,Africa,9.02294,8.34119,true,
atl-maghdi,magh1238,gmd,Mághdì,,Atlantic-Congo,Africa,9.2888,11.0232,true,
atl-mahongwe,maho1248,mhb,Mahongwe,,Atlantic-Congo,Africa,0.64356,14.0472,true,
atl-mak-nigeria,makn1235,pbl,Mak (Nigeria),,Atlantic-Congo,Africa,9.37299,11.1337,true,
atl-makaa,maka1304,mcp,Makaa,,Atlantic-Congo,Africa,4.15471,13.0789,true,
atl-makanjaula,maka1325,,Makanjaula,,Atlantic-Congo,Africa,-9.52396,34.79638,true,
atl-makhuwa,makh1264,vmw,Makhuwa,,Atlantic-Congo,Africa,-14.8509,38.8052,true,
atl-makhuwa-meetto,makh1261,mgh,Makhuwa-Meetto,,Atlantic-Congo,Africa,-11.9553,38.6874,true,
atl-makhuwa-shirima,makh1260,vmk,Makhuwa-Shirima,,Atlantic-Congo,Africa,-14.251,36.5249,true,
atl-makonde,mako1251,kde,Makonde,,Atlantic-Congo,Africa,-10.9906,39.5133,true,
atl-malawi-lomwe,mala1256,lon,Malawi Lomwe,,Atlantic-Congo,Africa,-15.56729,35.43347,true,
atl-malila,mali1279,mgq,Malila,,Atlantic-Congo,Africa,-9.16619,33.339,true,
atl-malimba,mali1280,mzd,Malimba,,Atlantic-Congo,Africa,3.67696,9.67186,true,
atl-mama,mama1272,mma,Mama,,Atlantic-Congo,Africa,8.8062,8.78601,true,
atl-mamara-senoufo,mama1271,myk,Mamara Senoufo,,Atlantic-Congo,Africa,12.4871,-5.28245,true,
atl-mamba,mamb1298,,Mamba,,Atlantic-Congo,Africa,-3.42531,37.5847,true,
atl-mambai,mamb1294,mcs,Mambai,,Atlantic-Congo,Africa,9.6121,14.0013,true,
atl-mambwe,mamb1297,,Mambwe,,Atlantic-Congo,Africa,-8.86817,31.2269,true,
atl-mambwe-lungu,mamb1296,mgr,Mambwe-Lungu,,Atlantic-Congo,Africa,-8.86817,31.2269,true,
atl-mampruli,mamp1244,maw,Mampruli,,Atlantic-Congo,Africa,10.3884,-0.74675,true,
atl-manda-matumba,mand1423,mgs,Manda-Matumba,,Atlantic-Congo,Africa,-10.3991,34.7424,true,
atl-mandjak,mand1419,mfv,Mandjak,,Atlantic-Congo,Africa,12.829,-15.9217,true,
atl-mankanya,mank1251,knf,Mankanya,,Atlantic-Congo,Africa,12.2615066667,-15.74389,true,
atl-mansoanka,mans1259,msw,Mansoanka,,Atlantic-Congo,Africa,12.8218,-15.9202,true,
atl-manta,mant1267,myg,Manta,,Atlantic-Congo,Africa,6.0213,9.59489,true,
atl-manyawa,many1259,mny,Manyawa,,Atlantic-Congo,Africa,-16.4963,36.8459,true,
atl-manyika,many1258,mxc,Manyika,,Atlantic-Congo,Africa,-18.1927,32.8052,true,
atl-manza,manz1243,mzv,Manza,,Atlantic-Congo,Africa,6.51218,18.7935,true,
atl-maore-comorian,maor1244,swb,Maore Comorian,,Atlantic-Congo,Africa,-12.830306,45.154942,true,
atl-marama,mara1392,lrm,Marama,,Atlantic-Congo,Africa,0.19,34.49,true,
atl-masaaba,masa1299,myx,Masaaba,,Atlantic-Congo,Africa,1.05906,34.2829,true,
atl-masaku,masa1295,,Masaku,,Atlantic-Congo,Africa,-1.60827,37.9532,true,
atl-mashi-nigeria,mash1269,jms,Mashi (Nigeria),,Atlantic-Congo,Africa,6.91719,10.2778,true,
atl-mashi-zambia,mash1267,mho,Mashi (Zambia),,Atlantic-Congo,Africa,-16.7256,22.5983,true,
atl-matengo,mate1258,mgv,Matengo,,Atlantic-Congo,Africa,-11.554,35.0056,true,
atl-matumbi,matu1259,mgw,Matumbi,,Atlantic-Congo,Africa,-8.53734,39.0409,true,
atl-maxi-gbe,maxi1236,mxl,Maxi Gbe,,Atlantic-Congo,Africa,7.57292,1.78181,true,
atl-mayogo,mayo1261,mdm,Mayogo,,Atlantic-Congo,Africa,2.79827,27.8282,true,
atl-mba,mbaa1245,mfc,Mba,,Atlantic-Congo,Africa,1.06885,25.143,true,
atl-mbala,mbal1257,mdp,Mbala,,Atlantic-Congo,Africa,-5.11888,18.041,true,
atl-mbandja,mban1263,zmz,Mbandja,,Atlantic-Congo,Africa,3.98003,19.4455,true,
atl-mbangala,mban1264,mxg,Mbangala,,Atlantic-Congo,Africa,-9.15592,17.4086,true,
atl-mbangwe,mban1268,zmn,Mbangwe,,Atlantic-Congo,Africa,-2.28729,13.5956,true,
atl-mbati,mbat1248,mdn,Mbati,,Atlantic-Congo,Africa,3.94184,17.7529,true,
atl-mbato,mbat1247,gwa,Mbato,,Atlantic-Congo,Africa,5.34421,-3.70421,true,
atl-mbe,mbee1249,mfo,Mbe,,Atlantic-Congo,Africa,6.57067,8.82998,true,
atl-mbelime,mbel1240,mql,Mbelime,,Atlantic-Congo,Africa,10.4532,0.95645,true,
atl-mbere-mbamba,mber1257,mdt,Mbere-Mbamba,,Atlantic-Congo,Africa,-0.477445,14.2877,true,
atl-mbesa,mbes1238,zms,Mbesa,,Atlantic-Congo,Africa,1.6207,22.8389,true,
atl-mbo-cameroon,mboc1235,mbo,Mbo (Cameroon),,Atlantic-Congo,Africa,5.13981,9.92766,true,
atl-mbo-democratic-republic-of-congo,mbod1238,zmw,Mbo (Democratic Republic of Congo),,Atlantic-Congo,Africa,1.11602,28.018,true,
atl-mboko,mbok1243,mdu,Mboko,,Atlantic-Congo,Africa,0.43541,14.7935,true,
atl-mbole,mbol1247,mdq,Mbole,,Atlantic-Congo,Africa,-0.57181,24.0443,true,
atl-mbosi,mbos1242,mdw,Mbosi,,Atlantic-Congo,Africa,-1.23019,15.5322,true,
atl-mbre,mbre1244,mka,Mbre,,Atlantic-Congo,Africa,8.20929,-5.72944,true,
atl-mbugu,mbug1240,mhd,Mbugu,,Atlantic-Congo,Africa,-4.72863,38.3519,true,
atl-mbugwe,mbug1242,mgz,Mbugwe,,Atlantic-Congo,Africa,-3.75763,35.8133,true,
atl-mbukushu,mbuk1240,mhw,Mbukushu,,Atlantic-Congo,Africa,-17.6827,22.5026,true,
atl-mbula-bwazza,mbul1260,mbu,Mbula-Bwazza,,Atlantic-Congo,Africa,9.60769,12.2439,true,
atl-mbule,mbul1262,mlb,Mbule,,Atlantic-Congo,Africa,4.50635,10.9924,true,
atl-mbum,mbum1254,mdd,Mbum,,Atlantic-Congo,Africa,7.5789,14.2722,true,
atl-mbunda,mbun1249,mck,Mbunda,,Atlantic-Congo,Africa,-14.603,21.9768,true,
atl-mbunga,mbun1248,mgy,Mbunga,,Atlantic-Congo,Africa,-8.19661,36.5362,true,
atl-mbuun,mpuo1241,zmp,Mbuun,,Atlantic-Congo,Africa,-5.21134,19.4269,true,
atl-medumba,medu1238,byv,Medumba,,Atlantic-Congo,Africa,5.10901,10.6118,true,
atl-menchum,befa1241,bby,Menchum,,Atlantic-Congo,Africa,6.27562,10.0342,true,
atl-mendankwe-nkwen,mend1261,mfd,Mendankwe-Nkwen,,Atlantic-Congo,Africa,6.00034,10.2307,true,
atl-mengaka,meng1264,xmg,Mengaka,,Atlantic-Congo,Africa,5.71399,10.3377,true,
atl-mengisa,meng1263,mct,Mengisa,,Atlantic-Congo,Africa,4.5932,11.3947,true,
atl-menka,menk1238,mea,Menka,,Atlantic-Congo,Africa,5.94639,9.69161,true,
atl-meru,meru1245,mer,Meru,,Atlantic-Congo,Africa,0.26484,37.7396,true,
atl-meta,meta1238,mgo,Meta',,Atlantic-Congo,Africa,5.88942,9.87416,true,
atl-mfinu,mfin1238,zmf,Mfinu,,Atlantic-Congo,Africa,-4.26573,16.2559,true,
atl-mid-southern-banda,mids1243,bjo,Mid-Southern Banda,,Atlantic-Congo,Africa,5.87893,22.4666,true,
atl-mingang-doso,ming1254,mko,Mingang Doso,,Atlantic-Congo,Africa,9.25942,11.295,true,
atl-mituku,mitu1240,zmq,Mituku,,Atlantic-Congo,Africa,-1.57031,25.104,true,
atl-miyobe,miyo1238,soy,Miyobe,,Atlantic-Congo,Africa,9.94366,1.33302,true,
atl-mkuu,mkuu1238,,Mkuu,,Atlantic-Congo,Africa,-3.07772,37.5382,true,
atl-mlomp,mlom1238,mlo,Mlomp,,Atlantic-Congo,Africa,12.8318,-16.5383,true,
atl-mmaala,mmaa1238,mmu,Mmaala,,Atlantic-Congo,Africa,4.52188,11.0599,true,
atl-mmen,mmen1238,bfm,Mmen,,Atlantic-Congo,Africa,6.43213,10.2541,true,
atl-moba,moba1244,mfq,Moba,,Atlantic-Congo,Africa,10.9496,0.159565,true,
atl-mochi,moch1256,old,Mochi,,Atlantic-Congo,Africa,-3.33743,37.3357,true,
atl-mokpwe,mokp1239,bri,Mokpwe,,Atlantic-Congo,Africa,4.24178,9.23887,true,
atl-mom-jango,momj1237,ver,Mom Jango,,Atlantic-Congo,Africa,8.8658,12.7473,true,
atl-mongo,mong1338,lol,Mongo,,Atlantic-Congo,Africa,-1.54228,20.4259,true,
atl-mono-cameroon,mono1269,mru,Mono (Cameroon),,Atlantic-Congo,Africa,8.78372,14.2254,true,
atl-mono-democratic-republic-of-congo,mono1270,mnh,Mono (Democratic Republic of Congo),,Atlantic-Congo,Africa,4.57915,19.8264,true,
atl-monzombo,monz1249,moj,Monzombo,,Atlantic-Congo,Africa,3.19008,18.5129,true,
atl-moo,mooo1239,gwg,Moo,,Atlantic-Congo,Africa,9.44081,11.204,true,
atl-mossi,moss1236,mos,Mossi,,Atlantic-Congo,Africa,11.95,-1.32,true,
atl-mozambique-lomwe,lomw1241,ngl,Mozambique Lomwe,,Atlantic-Congo,Africa,-16.0381,37.2437,true,
atl-mpama,mpam1239,,Mpama,,Atlantic-Congo,Africa,-0.739203,17.685662,true,
atl-mpiemo,mpie1238,mcx,Mpiemo,,Atlantic-Congo,Africa,3.45776,15.5246,true,
atl-mpongmpong,mpon1254,mgg,Mpongmpong,,Atlantic-Congo,Africa,3.14015,14.866,true,
atl-mpoto,mpot1240,mpa,Mpoto,,Atlantic-Congo,Africa,-11.13767,34.71269,true,
atl-mumuye,nucl1240,mzm,Mumuye,,Atlantic-Congo,Africa,8.90347,11.71545,true,
atl-mundabli-mufu,mund1328,boe,Mundabli-Mufu,,Atlantic-Congo,Africa,6.59969,10.2704,true,
atl-mundang,mund1325,mua,Mundang,,Atlantic-Congo,Africa,9.83195,14.4751,true,
atl-mundani,mund1327,mnf,Mundani,,Atlantic-Congo,Africa,5.68073,9.91533,true,
atl-mundu,mund1326,muh,Mündü,,Atlantic-Congo,Africa,4.22755,29.9967,true,
atl-mungaka,mung1266,mhk,Mungaka,,Atlantic-Congo,Africa,5.89752,10.0294,true,
atl-mungbam,abar1238,mij,Mungbam,,Atlantic-Congo,Africa,6.5805,10.2267,true,
atl-musukotwani,musu1242,,Musukotwani,,Atlantic-Congo,Africa,-18.37,26.502,true,
atl-mwali-comorian,mwal1237,wlc,Mwali Comorian,,Atlantic-Congo,Africa,-12.3164,43.741,true,
atl-mwani,mwan1247,wmw,Mwani,,Atlantic-Congo,Africa,-12.5821,40.4601,true,
atl-mwera-chimwera,mwer1248,mwe,Mwera (Chimwera),,Atlantic-Congo,Africa,-9.75639,38.8762,true,
atl-mwesa,mwes1234,,Mwesa,,Atlantic-Congo,Africa,0.086134,13.30037,true,
atl-mwimbi-muthambi,mwim1241,mws,Mwimbi-Muthambi,,Atlantic-Congo,Africa,-0.11968,37.5939,true,
atl-myene,myen1241,mye,Myene,,Atlantic-Congo,Africa,-1.48741,9.50247,true,
atl-nafanan,nafa1258,nfr,Nafanan,,Atlantic-Congo,Africa,8.00522,-2.51001,true,
atl-naki,naki1238,mff,Naki,,Atlantic-Congo,Africa,6.62784,10.2378,true,
atl-nalu,nalu1240,naj,Nalu,,Atlantic-Congo,Africa,11.0397,-14.8188,true,
atl-nambya,namb1291,nmq,Nambya,,Atlantic-Congo,Africa,-19.0899,26.0394,true,
atl-nande,nand1264,nnb,Nande,,Atlantic-Congo,Africa,-0.24904,29.0243,true,
atl-nanerige-senoufo,nane1238,sen,Nanerigé Sénoufo,,Atlantic-Congo,Africa,11.7548,-4.92148,true,
atl-nateni,nate1242,ntm,Nateni,,Atlantic-Congo,Africa,10.5191,1.21879,true,
atl-natioro,nati1243,nti,Natioro,,Atlantic-Congo,Africa,10.7176,-5.19517,true,
atl-nawdm,nawd1238,nmz,Nawdm,,Atlantic-Congo,Africa,7.17037,0.58553,true,
atl-nawuri,nawu1242,naw,Nawuri,,Atlantic-Congo,Africa,8.45116,0.04947,true,
atl-ncane-mungong,ncan1245,ncr,Ncane-Mungong,,Atlantic-Congo,Africa,6.50696,10.5312,true,
atl-nda-nda,ndan1241,nnz,Nda'nda',,Atlantic-Congo,Africa,5.14715,10.3942,true,
atl-ndai,ndai1238,gke,Ndai,,Atlantic-Congo,Africa,8.09039,14.2888,true,
atl-ndaka,ndak1241,ndk,Ndaka,,Atlantic-Congo,Africa,1.53341,27.9693,true,
atl-ndaktup,ndak1242,ncp,Ndaktup,,Atlantic-Congo,Africa,6.7,11.03,true,
atl-ndali,ndal1241,ndh,Ndali,,Atlantic-Congo,Africa,-9.88948,33.6118,true,
atl-ndamba,ndam1239,ndj,Ndamba,,Atlantic-Congo,Africa,-8.40485,36.0271,true,
atl-ndambomo,ndam1254,nxo,Ndambomo,,Atlantic-Congo,Africa,-0.82,12.77,true,
atl-ndasa,ndas1238,nda,Ndasa,,Atlantic-Congo,Africa,-2.449015,13.369465,true,
atl-ndau,ndau1241,ndc,Ndau,,Atlantic-Congo,Africa,-20.1239,33.1739,true,
atl-nde,ndee1242,,Nde,,Atlantic-Congo,Africa,6.17426,8.49836,true,
atl-nde-nsele-nta,nden1250,ndd,Nde-Nsele-Nta,,Atlantic-Congo,Africa,6.17426,8.49836,true,
atl-ndemli,ndem1249,nml,Ndemli,,Atlantic-Congo,Africa,4.58061,10.2197,true,
atl-ndendeule,nden1249,dne,Ndendeule,,Atlantic-Congo,Africa,-10.4203,36.0105,true,
atl-ndengereko,nden1248,ndg,Ndengereko,,Atlantic-Congo,Africa,-7.54628,38.958,true,
atl-ndoe,ndoe1238,nbb,Ndoe,,Atlantic-Congo,Africa,6.08134,8.69131,true,
atl-ndogo,ndog1248,ndz,Ndogo,,Atlantic-Congo,Africa,7.73028,27.5588,true,
atl-ndolo,ndol1238,ndl,Ndolo,,Atlantic-Congo,Africa,2.15101,19.4087,true,
atl-ndonga,ndon1254,ndo,Ndonga,,Atlantic-Congo,Africa,-17.22,17.35,true,
atl-ndumu,ndum1239,nmd,Ndumu,,Atlantic-Congo,Africa,-1.67033,13.7279,true,
atl-ndunga,ndun1249,ndt,Ndunga,,Atlantic-Congo,Africa,2.3886,21.5755,true,
atl-ndunic,ahwa1235,nfd,Ndunic,,Atlantic-Congo,Africa,9.17635,8.56205,true,
atl-ndut,ndut1239,ndv,Ndut,,Atlantic-Congo,Africa,14.925,-16.9811,true,
atl-ndzwani-comorian,ndzw1235,wni,Ndzwani Comorian,,Atlantic-Congo,Africa,-12.2123,44.3709,true,
atl-ngamambo,ngam1267,nbv,Ngamambo,,Atlantic-Congo,Africa,5.87975,10.0779,true,
atl-ngando-central-african-republic,ngan1304,ngd,Ngando (Central African Republic),,Atlantic-Congo,Africa,3.71666,17.6499,true,
atl-ngazidja-comorian,ngaz1238,zdj,Ngazidja Comorian,,Atlantic-Congo,Africa,-11.6129,43.36,true,
atl-ngbaka-ma-bo,ngba1284,nbm,Ngbaka Ma'bo,,Atlantic-Congo,Africa,4.0,18.12,true,
atl-ngbaka-manza,ngba1287,ngg,Ngbaka Manza,,Atlantic-Congo,Africa,5.30167,18.4119,true,
atl-ngbaka-minagende,ngba1285,nga,Ngbaka Minagende,,Atlantic-Congo,Africa,2.98887,18.994,true,
atl-ngbinda-mayeka,ngbi1238,nbd,Ngbinda-Mayeka,,Atlantic-Congo,Africa,3.27251,23.5669,true,
atl-ngbundu,ngbu1241,nuu,Ngbundu,,Atlantic-Congo,Africa,3.82245,18.7183,true,
atl-ngelima,ngel1238,agh,Ngelima,,Atlantic-Congo,Africa,1.81314,24.8754,true,
atl-ngemba,ngem1255,nge,Ngemba,,Atlantic-Congo,Africa,5.97864,10.1469,true,
atl-ngie,ngie1242,ngj,Ngie,,Atlantic-Congo,Africa,5.93852,9.79389,true,
atl-ngiemboon,ngie1241,nnh,Ngiemboon,,Atlantic-Congo,Africa,5.56777,10.1266,true,
atl-ngindo,ngin1244,nnq,Ngindo,,Atlantic-Congo,Africa,-9.78145,37.9832,true,
atl-ngom,ngom1270,nra,Ngom,,Atlantic-Congo,Africa,0.882925,14.1345,true,
atl-ngomba,ngom1272,jgo,Ngomba,,Atlantic-Congo,Africa,5.63067,10.237,true,
atl-ngombe-bangandu,bang1347,bgf,Ngombe-Bangandu,,Atlantic-Congo,Africa,2.18716,14.7506,true,
atl-ngombe-democratic-republic-of-congo,ngom1268,ngc,Ngombe (Democratic Republic of Congo),,Atlantic-Congo,Africa,1.45357,20.14148,true,
atl-ngongo,ngon1267,noq,Ngongo,,Atlantic-Congo,Africa,-5.5,18.2,true,
atl-ngoreme,ngur1263,ngq,Ngoreme,,Atlantic-Congo,Africa,-1.8485,34.6173,true,
atl-ngoshie,ngos1238,nsh,Ngoshie,,Atlantic-Congo,Africa,6.04616,9.83193,true,
atl-ngubi,ngub1239,,Ngubi,,Atlantic-Congo,Africa,-3.433411,10.768112,true,
atl-ngulu,ngul1246,ngp,Ngulu,,Atlantic-Congo,Africa,-5.79734,37.6823,true,
atl-ngundi,ngun1270,ndn,Ngundi,,Atlantic-Congo,Africa,3.02108,16.21457,true,
atl-ngundu,ngun1266,nue,Ngundu,,Atlantic-Congo,Africa,4.88628,20.4218,true,
atl-ngwe,ngwe1238,nwe,Ngwe,,Atlantic-Congo,Africa,5.49787,9.9028,true,
atl-ngwii,ngul1247,nlo,Ngwii,,Atlantic-Congo,Africa,-4.09816,19.5129,true,
atl-ngwo,ngwo1241,ngn,Ngwo,,Atlantic-Congo,Africa,6.17739,9.84369,true,
atl-nilamba,nila1242,nim,Nilamba,,Atlantic-Congo,Africa,-4.50002,34.3068,true,
atl-ningye,ning1271,nns,Ningye,,Atlantic-Congo,Africa,9.29341,8.43562,true,
atl-ninzo,ninz1246,nin,Ninzo,,Atlantic-Congo,Africa,8.95791,8.47328,true,
atl-nizaa,suga1248,sgi,Nizaa,,Atlantic-Congo,Africa,7.12906,12.3779,true,
atl-njebi,njeb1242,nzb,Njebi,,Atlantic-Congo,Africa,-2.18115,12.7063,true,
atl-njen,njen1238,njj,Njen,,Atlantic-Congo,Africa,5.75169,9.90439,true,
atl-njerep,njer1242,njr,Njerep,,Atlantic-Congo,Africa,6.82183,11.521,true,
atl-njyem,njye1238,njy,Njyem,,Atlantic-Congo,Africa,2.30483,14.1175,true,
atl-nkari,nkar1238,nkz,Nkari,,Atlantic-Congo,Africa,5.43898,7.76345,true,
atl-nkem-nkum,nkem1242,isi,Nkem-Nkum,,Atlantic-Congo,Africa,6.59158,8.68668,true,
atl-nkhumbi,nkhu1238,khu,Nkhumbi,,Atlantic-Congo,Africa,-15.4126,13.9704,true,
atl-nkongho,nkon1247,nkc,Nkongho,,Atlantic-Congo,Africa,5.33848,9.80096,true,
atl-nkonya,nkon1248,nko,Nkonya,,Atlantic-Congo,Africa,7.20316,0.3209,true,
