av_id,glottocode,iso639p3,name,parent_av_id,family,macroarea,latitude,longitude,in_glottolog,notes
aav-sou,souu1238,sqq,Sou,,Austroasiatic,Eurasia,14.687,106.54,true,
aav-south-wa,para1301,prk,South Wa,,Austroasiatic,Eurasia,22.8658,99.375,true,
aav-sre,sree1244,,Sre,,Austroasiatic,Eurasia,11.6444,108.057,true,
aav-suoy,suoy1242,syo,Suoy,,Austroasiatic,Eurasia,11.936,104.136,true,
aav-surin,suri1265,,Surin,,Austroasiatic,Eurasia,14.4674,103.863,true,
aav-talieng,tali1257,tdf,Talieng,,Austroasiatic,Eurasia,16.5287,106.102,true,
aav-tampuan,tamp1251,tpu,Tampuan,,Austroasiatic,Eurasia,13.56447,107.24544,true,
aav-temiar,temi1246,tea,Temiar,,Austroasiatic,Eurasia,4.974,101.438,true,
aav-temoq,temo1243,tmo,Temoq,,Austroasiatic,Eurasia,3.11331,102.916,true,
aav-teressa,tere1272,tef,Teressa,,Austroasiatic,Eurasia,8.23716,93.1297,true,
aav-thavung,aheu1239,thm,Thavung,,Austroasiatic,Eurasia,17.7655,104.229,true,
aav-tho,thoo1240,tou,Tho,,Austroasiatic,Eurasia,19.3563,105.363,true,
aav-todrah,todr1244,tdr,Todrah,,Austroasiatic,Eurasia,14.5672,108.114,true,
aav-toum,toum1239,,Toum,,Austroasiatic,Eurasia,18.8,104.8,true,
aav-tri,trii1240,,Tri,,Austroasiatic,Eurasia,17.1311,105.671,true,
aav-u,uuuu1243,uuu,U,,Austroasiatic,Eurasia,22.6767,101.772,true,
aav-upper-ta-oih,uppe1406,tth,Upper Ta'oih,,Austroasiatic,Eurasia,16.186515,107.056135,true,
aav-vietic,viet1250,,Vietic,,Austroasiatic,,,,false,
aav-vietnamese,viet1252,vie,Vietnamese,,Austroasiatic,Eurasia,20.681188,105.774071,true,
aav-war-jaintia,warj1242,aml,War-Jaintia,,Austroasiatic,Eurasia,25.1154,91.6266,true,
aav-western-bru,west2397,brv,Western Bru,,Austroasiatic,Eurasia,16.4906,104.754,true,
aav-western-katu,west2398,kuf,Western Katu,,Austroasiatic,Eurasia,15.7949,107.166,true,
aav-western-lawa,west2396,lcp,Western Lawa,,Austroasiatic,Eurasia,19.8678,99.2057,true,
aav-western-pearic,west2394,,Western Pearic,,Austroasiatic,,,,false,
aav-zhenkang-wa,nucl1290,wbm,Zhenkang Wa,,Austroasiatic,Eurasia,23.1024,99.108,true,
abi-abinomn,abin1243,bsa,Abinomn,,Abinomn,Papunesia,-2.92281,138.891,true,
abk-abaza,abaz1241,abq,Abaza,,Abkhaz-Adyge,Eurasia,44.25,42.0,true,
abk-abkhaz,abkh1244,abk,Abkhaz,,Abkhaz-Adyge,Eurasia,43.056218,41.159115,true,
abk-kabardian,kaba1278,kbd,Kabardian,,Abkhaz-Adyge,Eurasia,43.5082,43.3918,true,
abk-ubykh,ubyk1235,uby,Ubykh,,Abkhaz-Adyge,Eurasia,43.67,39.67,true,
abk-west-circassian,adyg1241,ady,West Circassian,,Abkhaz-Adyge,Eurasia,44.0,39.33,true,
abu-abun,abun1252,kgr,Abun,,Abun,Papunesia,-0.57073,132.416,true,
abu-abun-tat,abun1254,,Abun Tat,,Abun,Papunesia,-0.57073,132.416,true,
aew-aewa,abis1238,ash,Aewa,,Aewa,South America,-1.284096,-75.084405,true,
afa-aasax,aasa1238,aas,Aasax,,Afro-Asiatic,Africa,-4.00679,36.8648,true,
afa-afade,afad1236,aal,Afade,,Afro-Asiatic,Africa,12.0551,14.6343,true,
afa-afar,afar1241,aar,Afar,,Afro-Asiatic,Africa,12.2281,41.8083,true,
afa-akkadian,akka1240,akk,Akkadian,,Afro-Asiatic,Eurasia,33.1,44.1,true,
afa-alaba-k-abeena,alab1254,alw,Alaba-K'abeena,,Afro-Asiatic,Africa,7.39014,38.1732,true,
afa-alagwa,alag1248,wbj,Alagwa,,Afro-Asiatic,Africa,-4.64148,35.7231,true,
afa-ale-gawwada,gaww1239,gwd,Ale-Gawwada,,Afro-Asiatic,Africa,5.37869,37.2737,true,
afa-algerian-arabic,alge1239,arq,Algerian Arabic,,Afro-Asiatic,Africa,35.4208,3.23033,true,
afa-algerian-saharan-arabic,alge1240,aao,Algerian Saharan Arabic,,Afro-Asiatic,Africa,20.8884,4.80626,true,
afa-amharic,amha1245,amh,Amharic,,Afro-Asiatic,Africa,11.708182,39.543456,true,
afa-ancient-hebrew,anci1244,hbo,Ancient Hebrew,,Afro-Asiatic,Eurasia,31.7761,35.1725,true,
afa-andalusian-arabic,anda1287,xaa,Andalusian Arabic,,Afro-Asiatic,Eurasia,36.54,-5.2,true,
afa-arbore,arbo1245,arv,Arbore,,Afro-Asiatic,Africa,4.92183,36.7986,true,
afa-argobba,argo1244,agj,Argobba,,Afro-Asiatic,Africa,10.6596,39.756,true,
afa-assyrian-neo-aramaic,assy1241,aii,Assyrian Neo-Aramaic,,Afro-Asiatic,Eurasia,36.75,43.0,true,
afa-awjilah,awji1241,auj,Awjilah,,Afro-Asiatic,Africa,29.2341,21.1819,true,
afa-awngi,awng1244,awn,Awngi,,Afro-Asiatic,Africa,10.9819,36.6916,true,
afa-bacama,baca1246,bcy,Bacama,,Afro-Asiatic,Africa,9.53072,12.0416,true,
afa-bade,bade1248,bde,Bade,,Afro-Asiatic,Africa,12.789,10.6557,true,
afa-baharna-arabic,baha1259,abv,Baharna Arabic,,Afro-Asiatic,Eurasia,26.223615,50.580811,true,
afa-baiso,bais1246,bsw,Baiso,,Afro-Asiatic,Africa,6.44892,37.7681,true,
afa-baldamu,bald1241,bdn,Baldamu,,Afro-Asiatic,Africa,10.9078,14.4674,true,
afa-bana,bana1305,bcw,Bana,,Afro-Asiatic,Africa,10.3535,13.6131,true,
afa-bara,bara1395,,Bara,,Afro-Asiatic,Africa,10.30573,10.73936,true,
afa-barain,bare1279,bva,Barain,,Afro-Asiatic,Africa,10.970124,17.911727,true,
afa-bata,bata1314,bta,Bata,,Afro-Asiatic,Africa,9.68091,12.677,true,
afa-bathari,bath1244,bhm,Bathari,,Afro-Asiatic,Eurasia,17.88699,55.61232,true,
afa-beja,beja1238,bej,Beja,,Afro-Asiatic,Africa,17.2436,36.6666,true,
afa-bidiyo,bidi1241,bid,Bidiyo,,Afro-Asiatic,Africa,11.9204,18.8065,true,
afa-bilin,bili1260,byn,Bilin,,Afro-Asiatic,Africa,15.7833,38.3917,true,
afa-birgit,birg1239,btf,Birgit,,Afro-Asiatic,Africa,12.0228,19.8182,true,
afa-boga,boga1251,bvw,Boga,,Afro-Asiatic,Africa,10.188,12.936,true,
afa-boghom,bogh1241,bux,Boghom,,Afro-Asiatic,Africa,9.49679,10.11454,true,
afa-bole,nucl1695,bol,Bole,,Afro-Asiatic,Africa,11.4839,11.2322,true,
afa-boor,boor1242,bvf,Boor,,Afro-Asiatic,Africa,10.0904,17.5648,true,
afa-borana-arsi-guji-oromo,bora1271,gax,Borana-Arsi-Guji Oromo,,Afro-Asiatic,Africa,1.05676,37.882,true,
afa-buduma,budu1265,bdm,Buduma,,Afro-Asiatic,Africa,13.0692,14.4492,true,
afa-bura-pabir,bura1292,bwr,Bura-Pabir,,Afro-Asiatic,Africa,10.4822,12.3007,true,
afa-bure,bure1242,bvh,Bure,,Afro-Asiatic,Africa,10.4603,10.4554,true,
afa-burji,burj1242,bji,Burji,,Afro-Asiatic,Africa,4.44624,38.4646,true,
afa-burunge,buru1320,bds,Burunge,,Afro-Asiatic,Africa,-5.21369,35.963,true,
afa-bussa,buss1239,dox,Bussa,,Afro-Asiatic,Africa,5.74987,37.2017,true,
afa-buwal,buwa1243,bhs,Buwal,,Afro-Asiatic,Africa,10.6151,13.8838,true,
afa-cakfem-mushere,cakf1236,cky,Cakfem-Mushere,,Afro-Asiatic,Africa,9.00924,9.16071,true,
afa-central-moroccan-berber,cent2194,tzm,Central Moroccan Berber,,Afro-Asiatic,Africa,32.7415,-2.40872,true,
afa-chadian-arabic,chad1249,shu,Chadian Arabic,,Afro-Asiatic,Africa,14.67,13.5,true,
afa-chaha,chah1248,,Chaha,,Afro-Asiatic,Africa,8.11879,37.9891,true,
afa-chaldean-neo-aramaic,chal1275,cld,Chaldean Neo-Aramaic,,Afro-Asiatic,Eurasia,37.0972,43.5027,true,
afa-chaouia-of-the-aures,tach1249,shy,Chaouia of the Aures,,Afro-Asiatic,Africa,35.1867,6.88901,true,
afa-cibak,ciba1236,ckl,Cibak,,Afro-Asiatic,Africa,10.8977,12.902,true,
afa-cineni,cine1238,cie,Cineni,,Afro-Asiatic,Africa,11.1319,13.8187,true,
afa-classical-mandaic,clas1253,myz,Classical Mandaic,,Afro-Asiatic,Eurasia,36.1203,49.5659,true,
afa-classical-syriac,clas1252,syc,Classical Syriac,,Afro-Asiatic,Eurasia,37.1129,42.1432,true,
afa-coptic,copt1239,cop,Coptic,,Afro-Asiatic,Africa,29.472,31.2053,true,
afa-cuvok,cuvo1236,cuv,Cuvok,,Afro-Asiatic,Africa,10.6448,14.0006,true,
afa-cypriot-arabic,cypr1248,acy,Cypriot Arabic,,Afro-Asiatic,Eurasia,35.1674,33.0943,true,
afa-daasanach,daas1238,dsh,Daasanach,,Afro-Asiatic,Africa,4.58879,35.9888,true,
afa-daba,nucl1683,dbq,Daba,,Afro-Asiatic,Africa,10.3521,13.6318,true,
afa-dahalik,daha1247,dlk,Dahalik,,Afro-Asiatic,Africa,15.732898,40.081897,true,
afa-dahalo,daha1245,dal,Dahalo,,Afro-Asiatic,Africa,-2.1843,40.37,true,
afa-dangaleat,dang1274,daa,Dangaleat,,Afro-Asiatic,Africa,12.1517,18.385,true,
afa-dass,dass1243,dot,Dass,,Afro-Asiatic,Africa,9.9325,9.51838,true,
afa-dera-nigeria,dera1248,kna,Dera (Nigeria),,Afro-Asiatic,Africa,10.072,12.0256,true,
afa-dghwede,dghw1239,dgh,Dghwede,,Afro-Asiatic,Africa,11.05751,13.77847,true,
afa-dhofari-arabic,dhof1235,adf,Dhofari Arabic,,Afro-Asiatic,Eurasia,17.0796,54.4894,true,
afa-dirasha,dira1242,gdl,Dirasha,,Afro-Asiatic,Africa,5.60452,37.4026,true,
afa-diri,diri1259,dwa,Diri,,Afro-Asiatic,Africa,11.1701,9.32363,true,
afa-dugwor,dugw1239,dme,Dugwor,,Afro-Asiatic,Africa,10.752,14.2134,true,
afa-duhwa,duhw1236,kbz,Duhwa,,Afro-Asiatic,Africa,9.32586,8.77995,true,
afa-duwai,duwa1244,dbp,Duwai,,Afro-Asiatic,Africa,12.803,11.3367,true,
afa-eastern-oromo,east2652,hae,Eastern Oromo,,Afro-Asiatic,Africa,8.67428,41.4395,true,
afa-eblaite,ebla1238,xeb,Eblaite,,Afro-Asiatic,Eurasia,35.798,36.798,true,
afa-edomite,edom1234,xdm,Edomite,,Afro-Asiatic,Eurasia,31.7761,35.1725,true,
afa-egyptian-ancient,egyp1246,egy,Egyptian (Ancient),,Afro-Asiatic,Africa,28.381735,30.834959,true,
afa-egyptian-arabic,egyp1253,arz,Egyptian Arabic,,Afro-Asiatic,Africa;Eurasia,31.0,31.0,true,
afa-el-molo,elmo1238,elo,El Molo,,Afro-Asiatic,Africa,2.79312,36.7619,true,
afa-endegegny,eneg1238,,Endegegny,,Afro-Asiatic,Africa,7.94883,37.7968,true,
afa-ezha,ezha1238,,Ezha,,Afro-Asiatic,Africa,8.11879,37.9891,true,
afa-fali,fali1285,fli,Fali,,Afro-Asiatic,Africa,10.5419,13.4087,true,
afa-fyer,fyer1241,fie,Fyer,,Afro-Asiatic,Africa,9.49936,9.29503,true,
afa-ga-anda,gaan1243,gqa,Ga'anda,,Afro-Asiatic,Africa,10.2955,12.6479,true,
afa-gafat,gafa1240,gft,Gafat,,Afro-Asiatic,Africa,10.11067,38.18108,true,
afa-galambu,gala1264,glo,Galambu,,Afro-Asiatic,Africa,10.1258,10.2542,true,
afa-garre,garr1259,gex,Garre,,Afro-Asiatic,Africa,2.29633,44.6862,true,
afa-gavar,gava1241,gou,Gavar,,Afro-Asiatic,Africa,10.5603,13.8188,true,
afa-gedeo,gede1246,drs,Gedeo,,Afro-Asiatic,Africa,6.18469,38.2395,true,
afa-geez,geez1241,gez,Geez,,Afro-Asiatic,Africa,10.1342,40.6821,true,
afa-gejic,geji1246,,Gejic,,Afro-Asiatic,,,,false,
afa-gemzek,gemz1238,,Gemzek,,Afro-Asiatic,Africa,10.827,14.0578,true,
afa-gera,gera1246,gew,Gera,,Afro-Asiatic,Africa,10.4331,10.12,true,
afa-geruma,geru1240,gea,Geruma,,Afro-Asiatic,Africa,10.4775,9.78484,true,
afa-ghadames,ghad1239,gha,Ghadames,,Afro-Asiatic,Africa,30.1168,10.0165,true,
afa-ghomara,ghom1257,gho,Ghomara,,Afro-Asiatic,Africa,34.7979,-4.6696,true,
afa-gidar,gida1247,gid,Gidar,,Afro-Asiatic,Africa,9.874715,14.07845,true,
afa-giiwo,giiw1236,kks,Giiwo,,Afro-Asiatic,Africa,10.35754,10.46037,true,
afa-gilit-mesopotamian-arabic,meso1252,acm,Gilit Mesopotamian Arabic,,Afro-Asiatic,Eurasia,33.8178,43.1095,true,
afa-glavda,glav1244,glw,Glavda,,Afro-Asiatic,Africa,11.1334,13.8652,true,
afa-goemai,goem1240,ank,Goemai,,Afro-Asiatic,Africa,8.74455,9.72453,true,
afa-guanche,guan1277,gnc,Guanche,,Afro-Asiatic,Africa,28.0,-15.5,true,
afa-gude,gude1246,gde,Gude,,Afro-Asiatic,Africa,10.2138,13.403,true,
afa-gudu,gudu1250,gdu,Gudu,,Afro-Asiatic,Africa,10.1206,12.5359,true,
afa-guduf-gava,gudu1252,gdf,Guduf-Gava,,Afro-Asiatic,Africa,11.1057,13.7893,true,
afa-gulf-arabic,gulf1241,afb,Gulf Arabic,,Afro-Asiatic,Eurasia,30.17,47.5,true,
afa-gumer,gume1239,,Gumer,,Afro-Asiatic,Africa,8.11879,37.9891,true,
afa-gura-semitic,gura1260,,Gura (Semitic),,Afro-Asiatic,Africa,8.11879,37.9891,true,
afa-guruntum-mbaaru,guru1271,grd,Guruntum-Mbaaru,,Afro-Asiatic,Africa,9.87332,10.162,true,
afa-gvoko,gvok1239,ngs,Gvoko,,Afro-Asiatic,Africa,10.9918,13.7537,true,
afa-gwandara,gwan1268,gwn,Gwandara,,Afro-Asiatic,Africa,9.20464,7.49931,true,
