av_id,transcription_source,cognate_source,locked_at,notes
ine-swedish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70); language=iecor_69
ine-takestani,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-tokharian-a,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.86/0.70)
ine-tokharian-b,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-transalpine-gaulish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.31/0.70)
ine-tregorrois,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-ukrainian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.81/0.70)
ine-umbrian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.27/0.70)
ine-upper-sorbian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.84/0.70)
ine-urdu,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.87/0.70)
ine-vannetais,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-vedic-sanskrit,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-wakhi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-walloon,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.89/0.70)
ine-western-armenian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.90/0.70)
ine-western-balochi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-western-farsi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.83/0.70)
ine-western-flemish,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.41/0.70)
ine-western-frisian,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
ine-western-kataviri,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.85/0.70)
ine-yagnobi,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.64/0.70)
ine-yusufzai,iecor,iecor,2026-05-20,IECOR canonical: forms+cognates=iecor (0.91/0.70)
