Language_ID,Glottocode,Notes
wikt_sit-jap,japh1234,auto:exact_name (Japhug)
wikt_sit-liz,lizu1234,auto:exact_name (Lizu)
wikt_sit-lnj,long1417,auto:exact_name (Longjia)
wikt_sit-lrn,lure1234,auto:exact_name (Luren)
wikt_sit-sit,situ1238,auto:exact_name (Situ)
wikt_sit-tgm,tang1377,auto:exact_name (Tangam)
wikt_sit-tsh,tsho1240,auto:exact_name (Tshobdun)
wikt_sw,swah1253,auto:exact_name (Swahili)
wikt_syd-fne,fore1274,auto:exact_name (Forest Nenets)
wikt_tbq-mil,mila1245,auto:exact_name (Milang)
wikt_vsn,sans1269,auto:exact_name (Sanskrit)
wikt_wnw,wint1259,auto:exact_name (Wintu)
wikt_yok-bvy,buen1244,auto:exact_name (Buena Vista Yokuts)
wikt_yrk-for,fore1274,auto:exact_name (Forest Nenets)
wikt_yrk-tun,nene1249,auto:exact_name (Tundra Nenets)
wikt_yxl,yarl1236,auto:exact_name (Yarli)
zhangst_apatani,apat1240,auto:exact_name (Apatani)
zhangst_atong,aton1242,auto:exact_name (Atong)
zhangst_chepang,chep1245,auto:exact_name (Chepang)
zhangst_dimasa,dima1251,auto:exact_name (Dimasa)
zhangst_ersu,ersu1241,auto:exact_name (Ersu)
zhangst_idu,idum1241,auto:exact_name (Idu)
zhangst_karen,bila1257,auto:exact_name (Karen)
zhangst_khaling,khal1275,auto:exact_name (Khaling)
zhangst_limbu,limb1266,auto:exact_name (Limbu)
zhangst_marma,marm1234,auto:exact_name (Marma)
zhangst_mpi,mpii1239,auto:exact_name (Mpi)
zhangst_namuyi,namu1246,auto:exact_name (Namuyi)
zhangst_sunwar,sunw1242,auto:exact_name (Sunwar)
zhangst_thulung,thul1246,auto:exact_name (Thulung)
zhangst_bengni,nyis1236,manual:bengni = Nyishi-Hill Miri
zhangst_bokarlhoba,boka1249,manual:Bokar Lhoba = Bokar-Ramo
zhangst_darangtaraon,diga1241,manual:Darang Taraon = Tawra (Digaro-Mishmi)
zhangst_thado,thad1238,manual:Thado = Thado Chin
zhangst_tiddim,tedi1235,manual:Tiddim = Tedim Chin
zhangst_khumi,khum1249,manual:Khumi = Khumi Chin (dialect-level)
zhangst_matu,matu1264,manual:Matu = Matu Chin (dialect-level)
zhangst_ngmuun,munc1235,manual:Ngmuun = Mun Chin
zhangst_daai,daai1236,manual:Daai = Daai Chin
zhangst_sangtam,sang1321,manual:Sangtam = Sangtam Naga
zhangst_aomongsenlongchang,aona1235,manual:Ao Mongsen Longchang = Ao Naga (Mongsen dialect)
zhangst_aochungli,aona1235,manual:Ao Chungli = Ao Naga (Chungli dialect)
zhangst_lothanaga,loth1237,manual:Lotha Naga
zhangst_angamikohima,anga1288,manual:Angami Kohima = Angami Naga
zhangst_semasumi,sumi1235,manual:Sema Sumi = Sumi Naga
zhangst_liangmei,lian1251,manual:Liangmei = Liangmai Naga
zhangst_zeme,zeme1240,manual:Zeme = Zeme Naga
zhangst_rongmeinruanghmei,rong1266,manual:Rongmei Nruanghmei = Rongmei Naga
zhangst_tangkhul,tang1336,manual:Tangkhul = East-Central Tangkhul Naga
zhangst_bodo,bodo1269,manual:Bodo = Bodo-Mech
zhangst_garobangladesh,garo1247,manual:Garo Bangladesh = Garo
zhangst_konyak,kony1246,manual:Konyak (dialect-level)
zhangst_phom,phom1236,manual:Phom = Phom Naga
zhangst_chang,chan1308,manual:Chang (dialect-level)
zhangst_jingpho,jing1260,manual:Jingpho (dialect-level)
zhangst_sak,chak1270,manual:Sak = Chak (Sak is a dialect of Chak)
zhangst_pattanimanchati,patt1248,manual:Pattani Manchati = Pattani
zhangst_kanauri,kinn1249,manual:Kanauri = Kinnauri
zhangst_cuonamenba,tsha1245,manual:Cuona Menba = Tshangla (Cona Monpa)
zhangst_tshonamama,tsha1245,manual:Tshona Mama = Tshangla (Tshona area variety)
zhangst_tibetanjirel,jire1238,manual:Tibetan Jirel = Jirel
zhangst_tibetanamdozeku,amdo1237,manual:Tibetan Amdo Zeku = Amdo Tibetan
zhangst_tibetanamdoblabrang,amdo1237,manual:Tibetan Amdo Bla brang = Amdo Tibetan
zhangst_tibetanlhasa,tibe1272,manual:Tibetan Lhasa = Tibetan (Lhasa dialect)
zhangst_tibetanbatang,kham1282,manual:Tibetan Batang = Khams Tibetan (Batang dialect)
zhangst_tibetanxiahe,amdo1237,manual:Tibetan Xiahe = Amdo Tibetan (Xiahe/Labrang)
zhangst_tibetankhamsdege,kham1282,manual:Tibetan Khams Dege = Khams Tibetan (Dege dialect)
zhangst_thakalitukche,thak1245,manual:Thakali Tukche = Thakali
zhangst_gurungghachok,guru1261,manual:Gurung Ghachok = Gurung
zhangst_tamangsahu,west2415,manual:Tamang Sahu = Western Tamang
zhangst_manangprakaa,mana1288,manual:Manang Prakaa = Manange
zhangst_mananggyaru,mana1288,manual:Manang Gyaru = Manange
zhangst_hayu,wayu1241,manual:Hayu = Wayu (Vayu)
zhangst_magar,maga1261,manual:Magar (dialect-level)
zhangst_pumiqinghua,sout2729,manual:Pumi Qinghua = Southern Pumi (Qinghua is Western/Southern Pumi)
zhangst_muyaminyak,muya1239,manual:Muya Minyak = Muya
zhangst_xumi,shix1238,manual:Xumi = Shixing
zhangst_pumitaoba,nort2723,manual:Pumi Taoba = Northern Pumi (Taoba dialect)
zhangst_lyuzu,lizu1234,manual:Lyuzu = Lizu
zhangst_qianglongxi,sout2728,manual:Qiang Longxi = Southern Qiang (Longxi dialect)
zhangst_queyuyajiangzhaba,quey1238,manual:Queyu Yajiang Zhaba = Queyu
